# total samples: 3139  (eu-stack failures: 1)
   count    pct  function  (location/addr)
     782  24.9%  find_table_matches  (/home/shiv1/quals/lastz/src/seeds.c:1249)
     264   8.4%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:829)
     201   6.4%  find_table_matches  (/home/shiv1/quals/lastz/src/seeds.c:1306)
     120   3.8%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:830)
     117   3.7%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:822)
     105   3.3%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:831)
     102   3.2%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:822)
      91   2.9%  process_for_simple_hit  (/home/shiv1/quals/lastz/src/pos_table.c:1474)
      75   2.4%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:852)
      54   1.7%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:822)
      45   1.4%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:822)
      44   1.4%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:827)
      35   1.1%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:852)
      34   1.1%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:828)
      33   1.1%  xdrop_extend_seed_hit  (/usr/include/x86_64-linux-gnu/bits/string_fortified.h:90)
      33   1.1%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:399)
      30   1.0%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:841)
      28   0.9%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:852)
      28   0.9%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:852)
      28   0.9%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:852)
      25   0.8%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:833)
      25   0.8%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:849)
      25   0.8%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:841)
      25   0.8%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:852)
      23   0.7%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:754)
      22   0.7%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:850)
      22   0.7%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:826)
      22   0.7%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:844)
      22   0.7%  find_table_matches  (/home/shiv1/quals/lastz/src/seeds.c:1261)
      21   0.7%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:829)
      20   0.6%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:852)
      20   0.6%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:399)
      20   0.6%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:955)
      19   0.6%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:955)
      18   0.6%  xdrop_extend_seed_hit  (/usr/include/x86_64-linux-gnu/bits/string_fortified.h:90)
      18   0.6%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:399)
      17   0.5%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:907)
      16   0.5%  add_word  (/home/shiv1/quals/lastz/src/infer_scores.c:1754)
      16   0.5%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:822)
      16   0.5%  ydrop_one_sided_align.part.0  (/usr/include/x86_64-linux-gnu/bits/stdio2.h:107)
      14   0.4%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:399)
      14   0.4%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:710)
      13   0.4%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:831)
      13   0.4%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:852)
      13   0.4%  find_table_matches  (/home/shiv1/quals/lastz/src/seeds.c:1306)
      13   0.4%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:956)
      13   0.4%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:951)
      11   0.4%  find_table_matches  (/home/shiv1/quals/lastz/src/seeds.c:1250)
      11   0.4%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:895)
      11   0.4%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:955)
