# total samples: 312  (eu-stack failures: 1)
   count    pct  function  (location/addr)
      34  10.9%  find_table_matches  (/home/shiv1/quals/lastz/src/seeds.c:1306)
      30   9.6%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:399)
      21   6.7%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:895)
      20   6.4%  find_table_matches  (/home/shiv1/quals/lastz/src/seeds.c:1249)
      10   3.2%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:955)
      10   3.2%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:399)
       8   2.6%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:754)
       7   2.2%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:933)
       6   1.9%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:399)
       6   1.9%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:885)
       6   1.9%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:955)
       5   1.6%  process_for_simple_hit  (/home/shiv1/quals/lastz/src/pos_table.c:1474)
       5   1.6%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:399)
       5   1.6%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:907)
       5   1.6%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:754)
       5   1.6%  __vdso_gettimeofday  (0x00007ffc211de6cf)
       5   1.6%  gapped_extend  (/home/shiv1/quals/lastz/src/chain.c:986)
       4   1.3%  add_word  (/home/shiv1/quals/lastz/src/infer_scores.c:1754)
       4   1.3%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:822)
       4   1.3%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:956)
       4   1.3%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:895)
       4   1.3%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:949)
       4   1.3%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:955)
       4   1.3%  gapped_extend  (/home/shiv1/quals/lastz/src/chain.c:986)
       3   1.0%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:833)
       3   1.0%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:830)
       3   1.0%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:829)
       3   1.0%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:935)
       3   1.0%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:951)
       3   1.0%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:710)
       3   1.0%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:893)
       2   0.6%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:852)
       2   0.6%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:399)
       2   0.6%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:598)
       2   0.6%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:710)
       2   0.6%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:955)
       2   0.6%  ydrop_one_sided_align.part.0  (/usr/include/x86_64-linux-gnu/bits/stdio2.h:107)
       2   0.6%  __vdso_gettimeofday  (0x00007ffc211de6d5)
       2   0.6%  microsec_clock  (/home/shiv1/quals/lastz/src/lastz.c:7448)
       2   0.6%  ydrop_one_sided_align.part.0  (/home/shiv1/quals/lastz/src/seed_search.c:903)
       2   0.6%  gapped_extend  (/home/shiv1/quals/lastz/src/chain.c:986)
       1   0.3%  add_word  (/home/shiv1/quals/lastz/src/infer_scores.c:1746)
       1   0.3%  add_word  (/home/shiv1/quals/lastz/src/infer_scores.c:1754)
       1   0.3%  parse_fasta  (/home/shiv1/quals/lastz/src/dna_utilities.c:1207)
       1   0.3%  _IO_getc  (0x00007f95bd8724e2)
       1   0.3%  find_table_matches  (/home/shiv1/quals/lastz/src/seeds.c:1307 (discriminator 3))
       1   0.3%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:852)
       1   0.3%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:852)
       1   0.3%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:831)
       1   0.3%  xdrop_extend_seed_hit  (/home/shiv1/quals/lastz/src/seeds.c:822)
